,Compound,GT_HalfMetal,GT_InsulatorDirect,GT_InsulatorDirectSpinPolarised,GT_InsulatorIndirect,GT_InsulatorIndirectSpinPolarised,GT_Metal,Fit
38414,As2Rh1V1,0,0,0,0,0,1,5
84943,B6O12Rb6,0,1,0,0,0,0,1
47762,Ba2Br1Ir1,0,0,0,1,0,0,0
86673,Br2Ca1Hg1,0,0,0,1,0,0,3
114316,Cl1Ga1Se2,0,0,0,0,0,1,5
166277,Ge1Hg2Os1,0,0,0,0,0,1,5
179779,Hf1Sn1Y1,0,0,0,0,0,1,5
142217,Cu1Os1Ru1,0,0,0,0,0,1,5
187954,In1Ni1P2,0,0,0,0,0,1,5
211078,Mg1P1Ta1,0,0,0,0,0,1,5
5640,Ag1Ga1Sb2,0,0,0,0,0,1,5
2463,Ag1Bi1Sb1,0,0,0,0,0,1,5
198724,K1Sn1Te1,0,0,0,0,0,1,5
148406,Fe2Hf1Re1,0,0,0,0,0,1,5
12003,Al14Au6Nd2,0,0,0,0,0,1,5
227697,Ni1P1Ti1,0,0,0,0,0,1,5
240600,P1Si1W2,0,0,0,0,0,1,5
35765,As1La1Pt2,0,0,0,0,0,1,5
96813,Ca1Ge2Zn2,0,0,0,0,0,1,5
149514,Fe1K1Si2,0,0,0,0,0,1,5
122001,Co1In2Si1,0,0,0,0,0,1,5
219931,Na1Nb1Os1,0,0,0,0,0,1,5
236535,Pb1Sn1Tl1,0,0,0,0,0,1,5
214649,Mn1Pb1Ti2,0,0,0,0,0,1,5
47252,Ba1Bi1Hf1,0,0,0,0,0,1,5
223148,Na1Tl1W1,0,0,0,0,0,1,5
190074,In1Sb2Tc1,0,0,0,0,0,1,5
236930,Pb1Te1W2,0,0,0,0,0,1,5
242148,Rb4Te2,0,1,0,0,0,0,1
223974,Nb2Pb1Pd1,0,0,0,0,0,1,5
159006,Ga1Ir1Pb2,0,0,0,0,0,1,5
87539,Br1Co1Si1,0,0,0,0,0,1,5
223989,Nb1Pb2Re1,0,0,0,0,0,1,5
126494,Co2Se2,0,0,0,0,0,1,4
155829,F3Hg1Os1,1,0,0,0,0,0,5
70340,Be1O3Pd1,1,0,0,0,0,0,5
70387,Be1Os1P2,0,0,0,0,0,1,5
24095,Al1Na2Os1,0,0,0,0,0,1,5
198525,K1Se1V2,0,0,0,0,0,1,5
82894,B1La1Na1,0,0,0,0,0,1,5
150263,Fe24Mg4Re4,0,0,0,0,0,1,5
22230,Al1La1Na2,0,0,0,0,0,1,5
198680,K1Si2Zn1,0,0,0,0,0,1,5
11101,Ag1Te1Zr1,0,0,0,0,0,1,5
156228,F13K1Sb4,0,1,0,0,0,0,3
7784,Ag1Li1Te1,0,1,0,0,0,0,5
131314,Cr1Mn2Ru1,0,0,0,0,0,1,5
62112,B1Co2Pb1,0,0,0,0,0,1,5
213643,Mn1Nb1W1,0,0,0,0,0,1,5
101243,Ca2Pd1Sb1,0,0,0,0,0,1,5
199239,K1Tl2Y1,0,0,0,0,0,1,5
42643,Au1Ga1Mo1,0,0,0,0,0,1,5
159845,Ga1La1Y1,0,0,0,0,0,1,5
131676,Cr1Na2Si1,0,0,0,0,0,1,5
222252,Na2Sb1Sr1,0,0,0,0,0,1,5
185541,H24O22S2V2,0,0,0,0,0,1,3
245632,Sc1Se2Tl1,0,1,0,0,0,0,3
130443,Cr1K1Sc2,0,0,0,0,0,1,5
240785,Pt2,0,0,0,0,0,1,5
106636,Cd1In2Os1,0,0,0,0,0,1,5
164185,Ga1Sb1Zn1,0,0,0,1,0,0,5
1027,Ag2As1Ti1,0,0,0,0,0,1,5
217435,Mo1Nb1Sb1,0,0,0,0,0,1,5
223303,Nb8Ni4O24,0,0,0,0,1,0,4
231504,O4Ru1Sr2,1,0,0,0,0,0,0
191892,Ir1Mg1Zn1,0,0,0,0,0,1,5
41588,Au1Co1Re1,0,0,0,0,0,1,5
13592,Al1Bi1Na1,0,0,0,0,0,1,5
68575,Be1La1Pb2,0,0,0,0,0,1,5
147546,Fe24Ga4Rh4,0,0,0,0,0,1,5
236670,Pb1Sr1Zn1,0,0,0,0,0,1,5
83609,B1Mg1Sb2,0,0,0,0,0,1,5
51152,Ba1Fe1Sn1,0,0,0,0,0,1,5
52249,Ba1Ge1V1,0,0,0,0,0,1,5
91488,Br2Nb1Sn1,0,0,0,0,0,1,5
39195,As1Ti2Tl1,0,0,0,0,0,1,5
46873,Ba1Be1Mo1,1,0,0,0,0,0,5
174113,Ge1Y2Zr1,0,0,0,0,0,1,5
63538,Be1Br2Pb1,0,0,0,1,0,0,5
31110,As1Ca1Pd2,0,0,0,0,0,1,5
181736,Hg2Mn1Se1,0,0,0,0,0,1,5
161736,Ga3Ni5,0,0,0,0,0,1,5
183537,Hg2Rh1V1,0,0,0,0,0,1,5
192139,Ir1Mo1Se2,0,0,0,0,0,1,5
103024,Ca1Ti2Tl1,0,0,0,0,0,1,5
148353,Fe1Hf1P1,0,0,0,0,0,1,5
165213,Ga3Tm1,0,0,0,0,0,1,5
156933,F12O3U3,0,0,0,1,0,0,3
122613,Co1La1Sb1,0,0,0,0,0,1,5
153497,Fe2Re1Te1,0,0,0,0,0,1,5
88922,Br1Ga2Y1,0,0,0,0,0,1,5
31687,As2Cl1Mo1,0,0,0,0,0,1,5
152647,Fe1Pd1Se2,0,0,0,0,0,1,5
4220,Ag4C4N4S4,0,0,0,1,0,0,3
173313,Ge1Si1Zn2,0,0,0,0,0,1,5
154591,Fe4Si4,0,0,0,0,0,1,5
245371,Sb1Te1Tl2,0,0,0,0,0,1,5
209589,Mg1Nb2Tc1,0,0,0,0,0,1,5
80944,Bi2Pb1Ta1,0,0,0,0,0,1,5
153222,Fe24Pt4Ti4,0,0,0,0,0,1,5
234039,O16Te4V4,0,0,0,1,0,0,3
136458,Cu2Ga2S4,0,1,0,0,0,0,1
170954,Ge1Os1Tl2,0,0,0,0,0,1,5
106635,Cd1In2Os1,0,0,0,0,0,1,5
223066,Na1Te1W1,0,0,0,0,0,1,5
128750,Cr1Ga2Os1,0,0,0,0,0,1,5
230836,O2Pr2Se1,0,1,0,0,0,0,1
78710,Bi1K1Pd1,0,0,0,0,0,1,5
138890,Cu1Ir2Y1,0,0,0,0,0,1,5
5558,Ag1Ga1P2,0,0,0,0,0,1,5
10662,Ag1Se1Zn2,0,0,0,0,0,1,5
18741,Al2Fe2La6S14,0,0,0,0,1,0,4
185763,I2Mn2Sb2Se4,0,1,0,0,0,0,3
129014,Cr1Ge1In1,0,0,0,0,0,1,5
47943,Ba1Br1Sc2,0,0,0,0,0,1,5
180898,Hg1K1Pd2,0,0,0,0,0,1,5
30064,As1Be1Tc1,0,0,0,0,0,1,5
202975,La1Rh1W1,0,0,0,0,0,1,5
127158,Co3Sn3Zr3,0,0,0,0,0,1,5
141531,Cu2Nb1Zn1,0,0,0,0,0,1,5
223114,Na1Ti1Zn1,0,0,0,0,0,1,5
52840,Ba1Hg1Tc1,0,0,0,0,0,1,5
162864,Ga1Pd2Te1,0,0,0,0,0,1,5
233314,O14Sr2V6,0,0,0,1,0,0,3
130727,Cr2La1Se1,0,0,0,0,0,1,5
239388,P1Re1Rh1,0,0,0,0,0,1,5
41210,Au1Cl1Mn2,0,0,0,0,0,1,5
241218,Pt1Sb1Se2,0,0,0,0,0,1,5
123186,Co1Mg1Zr1,0,0,0,0,0,1,5
52472,Ba1Hf1Sc1,0,0,0,0,0,1,5
180847,Hg2K1Na1,0,0,0,0,0,1,5
121347,Co1Hf1Sn2,0,0,0,0,0,1,5
87051,Br1Cl1Fe2,0,0,0,0,0,1,5
241818,Pt1W1Y1,0,0,0,0,0,1,5
35781,As4La2Rh4,0,0,0,0,0,1,5
93758,Ca4,0,0,0,0,0,1,5
174282,Hf1Hg1O3,0,0,0,0,0,1,5
181963,Hg1Na2Pd1,0,0,0,0,0,1,5
214402,Mn6O12Te2,0,0,0,1,0,0,3
120784,Co1Ge1O3,0,0,0,0,0,1,5
203002,La8Rh8Zn8,0,0,0,0,0,1,5
227398,Ni1P2Pd1,0,0,0,0,0,1,5
166161,Ge2Hf1Zr1,0,0,0,0,0,1,5
208663,Mg2,0,0,0,0,0,1,5
181307,Hg1Li1Pt1,0,0,0,0,0,1,5
198042,K1Ru1Sr1,0,0,0,0,0,1,5
82078,Bi1Se1Sr2,0,0,0,0,0,1,5
169449,Ge2Mo1Rh1,0,0,0,0,0,1,5
88879,Br1Ga1Ti1,0,0,0,0,0,1,5
222609,Na2Si1Tc1,0,0,0,0,0,1,5
121494,Co1Hg1Li1,0,0,0,0,0,1,5
50076,Ba4Cu4,0,0,0,0,0,1,5
165561,Gd1O6Re1Sr2,1,0,0,0,0,0,0
71036,Be1P1Sr2,0,0,0,0,0,1,5
220790,Na1O3Te1,0,0,0,0,0,1,5
198669,K1Si1Y2,0,0,0,0,0,1,5
142638,Cu2Pb1W1,0,0,0,0,0,1,5
83812,B4Mn4P12,0,0,0,0,0,1,5
206635,Li8P6Pb1,0,0,0,0,0,1,5
202979,La1Rh2W1,0,0,0,0,0,1,5
155964,F4H4O4,0,0,0,1,0,0,3
67561,Be1Hg1Te1,0,0,0,0,0,1,5
173226,Ge1Si2Sn1,0,0,0,0,0,1,5
204975,Li3N1,0,1,0,0,0,0,1
161825,Ga1Ni1Sb1,0,0,0,0,0,1,5
209308,Mg1Na2Sb1,0,0,0,0,0,1,5
245370,Sb1Te1Tl1,0,0,0,0,0,1,5
175759,Hf1Li1Rh2,0,0,0,0,0,1,5
86272,B1Pt2Re1,0,0,0,0,0,1,5
67892,Be1In1W1,0,0,0,0,0,1,5
96403,Ca2Ge1Hg1,0,0,0,1,0,0,5
105774,Cd8Ge2S12,0,1,0,0,0,0,1
45301,Au1Nb2Se1,0,0,0,0,0,1,5
210361,Mg1Os2Tl1,0,0,0,0,0,1,5
39184,As1Te1W2,0,0,0,0,0,1,5
57123,Ba2Pt1Rh1,0,0,0,0,0,1,5
134792,Cs1F3Nb1,0,0,0,1,0,0,5
90173,Br2K1Pb1,0,0,0,0,0,1,5
182854,Hg1Pd1Pt1,0,0,0,0,0,1,5
223799,Nb1Os2Se1,0,0,0,0,0,1,5
216647,Mn2Sn1Ta1,0,0,0,0,0,1,5
115394,Cl2In1Rh1,1,0,0,0,0,0,0
16682,Al2Co1Mn1,1,0,0,0,0,0,5
227078,Ni1Pb2Tc1,0,0,0,0,0,1,5
90902,Br2Mg1Ti1,0,0,0,0,0,1,5
136524,Cu1Ga1Sn2,0,0,0,0,0,1,5
160217,Ga1Li2Y1,0,0,0,0,0,1,5
126404,Co6Sc10Si4,0,0,0,0,0,1,5
99310,Ca1Mn1O3,0,0,0,0,0,1,5
20480,Al1Hf1Pt1,0,0,0,0,0,1,5
143212,Cu1P2Te1,0,0,0,0,0,1,5
244932,Sb1Sc1Se2,0,0,0,0,0,1,5
212720,Mg1Te1V1,0,0,0,0,0,1,5
150987,Fe1Na1O2,1,0,0,0,0,0,0
49497,Ba1Co1Gd2O5,0,0,0,0,0,1,4
109558,Cd1P1Sn1,0,0,0,0,0,1,5
96843,Ca2Hf1Hg1,0,0,0,0,0,1,5
183241,Hg1Pt1Tc2,0,0,0,0,0,1,5
28902,Al2Zn1Zr1,0,0,0,0,0,1,5
216616,Mn2Sn4,0,0,0,0,0,1,5
247751,Si2Tc1Zn1,0,0,0,0,0,1,5
147453,Fe1Ga1Ni2,0,0,0,0,0,1,5
160084,Ga1Li2Sb1,0,0,0,0,0,1,5
208323,Li1Tc2V1,0,0,0,0,0,1,5
142125,Cu2O14Si4Sr4,0,0,1,0,0,0,1
156244,F12K4Si2,0,1,0,0,0,0,1
220834,Na4O24U4V4,0,1,0,0,0,0,3
202721,La1Re1Sb1,0,0,0,0,0,1,5
59927,B1Bi1Se1,0,0,0,0,0,1,5
25927,Al2Pb1Pt1,0,0,0,0,0,1,5
108095,Cd1Mo1Rh2,0,0,0,0,0,1,5
169030,Ge2Mn4P8,0,0,0,0,0,1,5
175971,Hf1Mg2Pt1,0,0,0,0,0,1,5
112680,C8I4N8Pt2Rb4,0,0,0,1,0,0,3
68024,Be1Ir1P2,0,0,0,0,0,1,5
249737,Tl1,0,0,0,0,0,1,5
4868,Ag1Cu2Rh1,0,0,0,0,0,1,5
69658,Be1Na1Pb2,0,0,0,0,0,1,5
240969,Pt1Re2Ru1,0,0,0,0,0,1,5
136786,Cu2Ge2La6S14,0,0,0,1,0,0,3
52744,Ba1Hg1Re1,0,0,0,0,0,1,5
42021,Au1Cu1Pb1,0,0,0,0,0,1,5
248029,Si6V3,0,0,0,0,0,1,5
119328,Co1Cu1Ru1,0,0,0,0,0,1,5
58131,Ba2Se1Zr1,0,0,0,0,0,1,5
234945,O8Zr4,0,0,0,1,0,0,3
1907,Ag2B2Bi2,0,0,0,0,0,1,5
132969,Cr1Pd1Ta2,0,0,0,0,0,1,5
97296,Ca2Hg1Sc1,0,0,0,0,0,1,5
236216,Pb1Sc2Y1,0,0,0,0,0,1,5
243548,Rh1Sc1Si2,0,0,0,0,0,1,5
123262,Co2Mn1Pd1,0,0,0,0,0,1,5
107495,Cd1Li2Ni1,0,0,0,0,0,1,5
125956,Co2Rh4S8,0,0,0,0,1,0,4
54873,Ba8Mn4Se12,0,0,1,0,0,0,2
154663,Fe2Si2Tb1,0,0,0,0,0,1,5
20296,Al8Hf4,0,0,0,0,0,1,5
15625,Al1Cd1Sc1,0,0,0,0,0,1,5
103842,C4Cu2K4O12,0,1,0,0,0,0,4
52191,Ba1Ge1Sr1,0,0,0,0,0,1,5
8091,Ag1Mn1Pb2,0,0,0,0,0,1,5
130884,Cr1Li1Re1,0,0,0,0,0,1,5
207017,Li1Pt1Tc2,0,0,0,0,0,1,5
94912,Ca1Cr1Si1,1,0,0,0,0,0,5
735,Ag1As1La2,0,0,0,0,0,1,5
188471,In1Os1Pt1,0,0,0,0,0,1,5
154957,Fe1Sn1Ti1,0,0,0,0,0,1,5
45638,Au1Pb1Sc1,0,0,0,1,0,0,5
43976,Au2K2O16S4,0,0,0,1,0,0,3
84443,B2Na1Se1,0,0,0,0,0,1,5
141711,Cu1Ni2Sb1,0,0,0,0,0,1,5
25160,Al6Ni2Y16,0,0,0,0,0,1,5
206823,Li8P16Sn32,0,0,0,0,0,1,5
94129,Ca1Cd1Tc2,0,0,0,0,0,1,5
133669,Cr1Rh2Sr1,0,0,0,0,0,1,5
184465,H12K2N6Sn1,0,1,0,0,0,0,3
139304,Cu1K1Zr1,0,0,0,0,0,1,5
92118,Br1Re1Rh1,0,0,0,0,0,1,5
141296,Cu4Nb8O24,0,0,0,0,1,0,5
182858,Hg1Pd2Pt1,0,0,0,0,0,1,5
21038,Al2H12Na6,0,0,0,0,0,1,5
79673,Bi2Mo1Na1,0,0,0,0,0,1,5
33116,As2Fe1P1,0,0,0,0,0,1,5
15212,Al1Ca2Se1,0,0,0,0,0,1,5
166183,Ge1Hg1K1,0,0,0,0,0,1,5
54614,Ba1Mg1Ti1,0,0,0,0,0,1,5
156770,F8O4Pb8,0,0,0,1,0,0,3
157758,Ga1Ge1W1,0,0,0,0,0,1,5
167219,Ge1Ir1Si1,0,0,0,0,0,1,5
107627,Cd2Li1Te1,0,0,0,0,0,1,5
234246,O4Ti2,0,0,0,1,0,0,3
244533,Ru1Si1Ti2,1,0,0,0,0,0,5
105907,Cd2Ge1W1,0,0,0,0,0,1,5
151331,Fe1Nb1Se2,0,0,0,0,0,1,5
226277,Nd16O24,0,1,0,0,0,0,1
17265,Al2Cr1Na1,0,0,0,0,0,1,5
123179,Co1Mg1Zn2,0,0,0,0,0,1,5
92526,Br1Si1Tl1,0,0,0,0,0,1,5
110240,Cd2Sb2Yb1,0,1,0,0,0,0,1
17002,Al1Co1V2,0,0,0,0,0,1,5
224719,Nb2Pt1Tl1,0,0,0,0,0,1,5
60663,B8Br4Zn2,0,0,0,1,0,0,5
164045,Ga4S4,0,1,0,0,0,0,1
145764,Dy4Ge4In1Ni2,0,0,0,0,0,1,5
152531,Fe1Pb1V2,0,0,0,0,0,1,5
116267,Cl2Mg1Nb1,1,0,0,0,0,0,5
203509,La1Se1Ti1,0,0,0,0,0,1,5
162258,Ga3O14Si2Sr3Ta1,0,1,0,0,0,0,1
100896,Ca2O6Ti2,0,0,0,1,0,0,3
107510,Cd1Li2P1,0,0,0,0,0,1,5
76823,Bi2Fe1Ni1,0,0,0,0,0,1,5
178019,Hf2Pd1Pt1,0,0,0,0,0,1,5
53640,Ba1K4O12U3,0,0,0,1,0,0,3
11734,Al4Au16,0,0,0,0,0,1,5
59331,B1Ba1Ru1,0,0,0,0,0,1,5
56833,Ba1Pd1Sr1,0,0,0,0,0,1,5
188439,In1O3Si1,0,0,0,0,0,1,5
158160,Ga1Hf1Zn2,0,0,0,0,0,1,5
137734,Cu2Hg1P4,0,0,0,0,0,1,5
115736,Cl1K1Se2,1,0,0,0,0,0,5
73689,B1Ge1Pb2,0,0,0,0,0,1,5
126334,Co2Sb6Zr10,0,0,0,0,0,1,5
106714,Cd1In1Sb2,0,0,0,0,0,1,5
109795,Cd1Pt1Y2,0,0,0,0,0,1,5
189365,In1Pt1Tc1,0,0,0,0,0,1,5
105753,Cd1Ge2Re1,0,0,0,0,0,1,5
152093,Fe2Os1Pt1,0,0,0,0,0,1,5
25437,Al4O36P12,0,1,0,0,0,0,3
159887,Ga1Li1Mg2,0,0,0,0,0,1,5
240358,P1Se1Sn2,0,0,0,0,0,1,5
245193,Sb4Si2V8,0,0,0,0,0,1,5
120039,Co2Ga1Mg1,0,0,0,0,0,1,5
154991,Fe2Sn1Tl1,0,0,0,0,0,1,5
81661,Bi1Rh1Sn1,0,0,0,0,0,1,5
52771,Ba4Hg4S8,0,0,0,1,0,0,3
36399,As1Mn1Pd2,0,0,0,0,0,1,5
120956,Co8Ge26Tb6,0,0,0,0,0,1,5
11173,Ag2Y1Zn1,0,0,0,0,0,1,5
248186,Si2Zr4,0,0,0,0,0,1,5
197859,K2Rh1Sb1,0,0,0,0,0,1,5
160976,Ga1Mo4S8,1,0,0,0,0,0,0
248156,Si1Y1Zn2,0,0,0,0,0,1,5
165316,Ga4Yb1,0,0,0,0,0,1,5
33152,As1Fe1Pt2,0,0,0,0,0,1,5
209078,Mg1Mo2Se1,0,0,0,0,0,1,5
231187,O24Rb2Se4V6,0,0,0,1,0,0,3
241429,Pt2Se1W1,0,0,0,0,0,1,5
77470,Bi1Ga2Sb1,0,0,0,0,0,1,5
13249,Al2Be1Sn1,0,0,0,0,0,1,5
140131,Cu1Mg1P1,0,1,0,0,0,0,5
35617,As1K1V2,0,0,0,0,0,1,5
81940,B1Ir2W1,0,0,0,0,0,1,5
247064,Se2Tl1Zr1,0,0,0,0,0,1,5
27608,Al4S6,0,0,0,1,0,0,1
133481,Cr4P12W2,0,0,0,0,0,1,5
128512,Cr1Fe1Zr2,0,0,0,0,0,1,5
152036,Fe4O8Si2,0,0,0,1,0,0,3
34436,As1Hf1Tl2,0,0,0,0,0,1,5
131428,Cr2Mo1P1,0,0,0,0,0,1,5
22537,Al1La1Tl1,0,0,0,0,0,1,5
59701,B1Be1Se2,0,0,0,0,0,1,5
188011,In1Ni1Pb1,0,0,0,0,0,1,5
234085,O10Ti6,1,0,0,0,0,0,3
107673,Cd1Mg2Nb1,0,0,0,0,0,1,5
203570,La1Se1Zr2,0,0,0,0,0,1,5
136013,Cu1F3Hf1,0,0,0,0,0,1,5
197125,K6P2Pd1,1,0,0,0,0,0,0
18518,Al8Dy1Fe4,0,0,0,0,0,1,5
97949,Ca1Ir1Mg1,0,0,0,0,0,1,5
103737,C8Cs4H4O16,0,1,0,0,0,0,3
244455,Ru16Si24,0,1,0,0,0,0,1
5150,Ag1Fe1Ni1,0,0,0,0,0,1,5
165539,Gd16O24,0,0,0,1,0,0,3
115050,Cl1Hf2Zr1,0,0,0,0,0,1,5
210431,Mg2O6Ti2,0,0,0,1,0,0,3
121811,Co2H48Ni2O40S4,0,0,0,1,0,0,5
219444,Mo1Se2W1,0,0,0,0,0,1,5
120354,Co1Ga2Tc1,0,0,0,0,0,1,5
128829,Cr1Ga1Sb1,0,0,0,0,0,1,5
195567,K3Na1O8S2,0,1,0,0,0,0,1
210824,Mg2Pd1Tc1,0,0,0,0,0,1,5
27895,Al1Sc1Zr1,0,0,0,0,0,1,5
91947,Br1Pb2Y1,0,0,0,0,0,1,5
233371,O6Sr2Zr2,0,0,0,1,0,0,3
154987,Fe1Sn2Tl1,0,0,0,0,0,1,5
240557,P1Si2Tc1,0,0,0,0,0,1,5
164525,Ga1Si1Ta1,0,0,0,0,0,1,5
117807,Cl1Pt1Si1,0,0,0,0,0,1,5
74787,Bi1Br2Pd1,0,0,0,0,0,1,5
158940,Ga1Ir2Mn1,0,0,0,0,0,1,5
204405,Li2Mg1Ru1,0,0,0,0,0,1,5
37637,As1Pb2Te1,0,0,0,0,0,1,5
233999,O6Te2,0,0,0,1,0,0,1
237915,Pd2Ta1W1,0,0,0,0,0,1,5
8133,Ag1Mn1Sb1,0,0,0,0,0,1,5
195661,K1Na1Sc2,0,0,0,0,0,1,5
120056,Co1Ga1Mn2,0,0,0,0,0,1,5
81913,Bi1Ru2Si1,0,0,0,0,0,1,5
161512,Ga1Nb1Pt1,0,1,0,0,0,0,5
46706,Ba1Be1Ca2,0,0,0,0,0,1,5
53429,Ba6Ir4O18Y2,0,1,0,0,0,0,3
69047,Be1Mg2Sc1,0,0,0,0,0,1,5
11249,Al1As2Br1,0,0,0,0,0,1,5
245636,Sc1Se1V1,0,0,0,0,0,1,5
108323,Cd1Na2Ta1,0,0,0,0,0,1,5
155666,F3Ge1Mg1,0,0,0,0,0,1,5
197633,K1P1Zn1,0,0,0,0,0,1,5
100938,Ca4O28V12,0,0,0,1,0,0,3
103298,C2Ca2O6,0,0,0,1,0,0,3
102101,Ca2Rh1V1,0,0,0,0,0,1,5
115536,Cl1K1Mn1,1,0,0,0,0,0,0
244797,Ru1V1W1,0,0,0,0,0,1,5
20929,Al1Hg2Te1,0,0,0,0,0,1,5
158761,Ga2In2Se4,0,0,0,0,0,1,5
63327,Be1Br2Cl1,0,0,0,0,0,1,5
212526,Mg2Sr1Zn1,0,0,0,0,0,1,5
239921,Pr4Te10,0,0,0,0,0,1,5
214900,Mn1Pd1Zr2,0,0,0,0,0,1,5
44367,Au2La1Te1,0,0,0,0,0,1,5
63223,Be1Bi1Ru1,0,0,0,0,0,1,5
8942,Ag1O3Se1,0,0,0,0,0,1,5
244116,Rh2V1W1,0,0,0,0,0,1,5
123375,Co2Mn1Si1,0,0,0,0,0,1,5
215077,Mn1P2Si1,0,0,0,0,0,1,5
206216,Li8Pb3,0,0,0,0,0,1,5
92117,Br20Rb12Zn4,0,1,0,0,0,0,1
34345,As2Hf1Re1,0,0,0,0,0,1,5
39233,As2Tl1W1,0,0,0,0,0,1,5
228285,Ni2S2,0,0,0,0,1,0,4
47689,Ba2Br2F2,0,1,0,0,0,0,1
113805,Cl2Fe1H4O2,0,0,0,1,0,0,4
52772,Ba8Hg4S12,0,1,0,0,0,0,1
116015,Cl2La1Si1,1,0,0,0,0,0,0
216435,Mn1Se1Zr2,0,0,0,0,0,1,5
227821,Ni1Pt1Tc1,0,0,0,0,0,1,5
155280,Fe2Te1Zr1,0,0,0,0,0,1,5
202962,La1Rh2Tl1,0,0,0,0,0,1,5
98658,Ca1La1Sn1,0,0,0,0,0,1,5
232598,Os1Pb1Pd2,0,0,0,0,0,1,5
98165,Ca2Ir2Sn4,0,0,0,0,0,1,5
220158,Na1Ni1O2,0,0,0,1,0,0,3
169609,Ge6N8,0,1,0,0,0,0,1
154345,Fe2Se2,0,1,0,0,0,0,4
83180,B16Li8O28,0,1,0,0,0,0,1
20450,Al3Hf3P3,0,0,0,0,0,1,5
51417,Ba1F3Tc1,0,0,0,0,1,0,5
234671,O8W2Zn2,0,1,0,0,0,0,1
73974,B2Hf18Os8,0,0,0,0,0,1,5
209336,Mg1Na2Si1,0,0,0,0,0,1,5
113173,Cl18Cs6Cu6,0,1,0,0,0,0,4
32307,As1Cr1P2,0,0,0,0,0,1,5
100661,Ca6O18Si6,0,0,0,1,0,0,3
128729,Cr1Ga2Nb1,0,0,0,0,0,1,5
49802,Ba1Cr1Cu1,0,0,0,0,0,1,5
81541,Bi1Re2Sb1,0,0,0,0,0,1,5
178875,Hf2Rh1Sc1,0,0,0,0,0,1,5
240561,P1Si1Te1,0,0,0,0,0,1,5
34635,As2H12N2O8,0,0,0,1,0,0,3
72955,B1Fe1Si1,0,0,0,0,0,1,5
89355,Br1Hf1Mo2,0,0,0,0,0,1,5
57309,Ba1P2Y1,0,0,0,0,0,1,5
163454,Ga1P2W1,0,0,0,0,0,1,5
7239,Ag1K2P1,0,0,0,0,0,1,5
242035,Rb2,0,0,0,0,0,1,5
136971,Cu2Ge4Pr2,0,0,0,0,0,1,5
239017,P1Pt1Se2,0,0,0,0,0,1,5
189877,In1Ru2Sn1,0,0,0,0,0,1,5
80497,B1In1Tc1,0,0,0,0,0,1,5
201520,La1Os1Tc2,0,0,0,0,0,1,5
220371,Na1Ni1Zr2,0,0,0,0,0,1,5
140585,Cu1Mn1Sr1,0,0,0,0,0,1,5
166000,Ge1Hf1Ru1,0,0,0,0,0,1,5
77453,Bi2Ga1Rh1,0,1,0,0,0,0,5
139890,Cu1Li1Sc2,0,0,0,0,0,1,5
110054,Cd1Ru1W1,0,0,0,0,0,1,5
64804,Be4Co24Ir4,0,0,0,0,0,1,5
33119,As2Fe2P2,0,0,0,0,0,1,5
197784,K1Re2Ti1,0,0,0,0,0,1,5
76577,Bi1Cu1Te2,0,0,0,0,0,1,5
91390,Br1Nb1P1,0,0,0,0,0,1,5
176644,Hf1Mo1V1,0,0,0,0,0,1,5
249110,Ta2Tl1V1,0,0,0,0,0,1,5
224849,Nb1Re2Se1,0,0,0,0,0,1,5
141309,Cu1Nb1P1,0,0,0,0,0,1,5
170177,Ge4Nd2,0,0,0,0,0,1,5
19937,Al2Ge1Mg1,0,0,0,0,0,1,5
10876,Ag1Sn1Y1,0,0,0,0,0,1,5
194535,K1Li1Se2,0,0,0,0,0,1,5
78728,Bi1K1Pt2,0,0,0,0,0,1,5
170931,Ge1Os1Te1,0,0,0,0,0,1,5
165575,Gd8O28Sc8Sr4,0,0,0,1,0,0,3
143206,Cu1P1Te1,0,0,0,0,0,1,5
131130,Cr1Mg1Se2,0,0,0,0,0,1,5
203821,La1Sn1Zn1,0,0,0,0,0,1,5
49731,Ba1Co1Se2,0,0,0,0,0,1,5
220235,Na1Ni1Sb1,0,0,0,0,0,1,5
75668,Bi1Cl2Rh1,0,0,0,1,0,0,5
47723,Ba2Br2H2,0,1,0,0,0,0,1
147368,Fe1Ga1La1,0,0,0,0,0,1,5
188172,In4Ni24Ta4,0,0,0,0,0,1,5
201700,La1Pb1Re2,0,0,0,0,0,1,5
236767,Pb1Ta1Y2,0,0,0,0,0,1,5
39355,Au1Ba2Be1,0,0,0,0,0,1,5
77240,Bi1Ga1Hf1,0,0,0,0,0,1,5
156871,F3O1Si1,0,0,0,0,0,1,5
111975,C18Fe6O18S4,0,1,0,0,0,0,3
77969,Bi2Ge1Zn1,0,0,0,0,0,1,5
95336,Ca2Cu2Sb2,0,0,0,0,0,1,5
90940,Br1Mg1Zr1,0,0,0,0,0,1,5
61768,B1Cl2Si1,0,0,0,0,0,1,5
211356,Mg1Re1Ru2,0,0,0,0,0,1,5
216277,Mn1Sc1Tl2,0,0,0,0,0,1,5
49554,Ba1Co2Li1,0,0,0,0,0,1,5
29489,As8Ba4Cu4O28,0,0,0,1,0,0,1
192423,Ir1Nb2Sb1,0,0,0,0,0,1,5
144577,Cu1Si2Sr1,0,0,0,0,0,1,5
238523,P3Pb1V1,0,0,0,0,0,1,5
